"n_samples","per_sample_then_sum_sec","aggregate_then_deflate_sec","speedup"
1,4.99999999998835e-05,4.99999999995282e-05,1.00000000000711
3,9.99999999997669e-05,4.99999999995282e-05,2.00000000001421
10,0.000300000000000011,5.00000000002387e-05,5.99999999997158
30,0.000949999999999562,4.99999999995282e-05,19.0000000001705
