"axis","cell_type","abs_cosine","current_objective","svd_singular_value"
1,"Epithelial",1,1591.16318243953,1591.16318243953
1,"Fibroblast",1,1591.16318243953,1591.16318243953
2,"Epithelial",1,748.699309500238,748.699309500237
2,"Fibroblast",1,748.699309500238,748.699309500237
3,"Epithelial",0.999999999999999,426.570369554627,426.570369554627
3,"Fibroblast",1,426.570369554627,426.570369554627
4,"Epithelial",1,323.265509049938,323.265509049938
4,"Fibroblast",1,323.265509049938,323.265509049938
