"method","median_sec","mean_sec","min_sec","speedup_vs_prechange"
"prechange_coordinate_end_to_end",0.0350000000000001,0.0351999999999999,0.0339999999999989,1
"exported_two_step_exact_svd",0.00699999999999967,0.00949999999999989,0.00699999999999967,5.00000000000025
"form_Y_once_plus_base_svd",0.00355000000000003,0.003565,0.00350000000000001,9.85915492957742
"form_Y_once_plus_irlba",0.00345000000000013,0.00347500000000002,0.00339999999999989,10.1449275362315
"solve_only_base_svd",0.000200000000000067,0.000206666666666665,0.000199999999999889,174.999999999942
"solve_only_lapack_svd",0.000200000000000067,0.000206666666666659,0.000199999999999889,174.999999999942
"solve_only_irlba",0.000100000000000122,0.000114999999999981,9.99999999997669e-05,349.999999999574
"solve_only_randomized",0.000300000000000011,0.000290000000000023,0.000249999999999773,116.666666666663
