"method","total_original_objective","cc1_original_objective","max_orthogonality_error","median_sec"
"sequential_rank1_current",4391.79660023723,2171.92790011099,0.42317376113236,0.245999999999995
"sequential_projection",4386.06155163902,2171.92790011099,6.66133814775094e-16,0.233000000000004
"joint_product_Stiefel",4391.82268427172,2170.79322370166,2.88657986402541e-15,0.0180000000000007
