"block_nnz","blocks","seconds_min","seconds_median","peak_mb","rel_diff"
NA,1,5.481,5.56,2025.975944,0
2e+06,2,4.774,5.026,1524.954904,7.51296236695281e-14
1e+06,4,4.64500000000001,4.65599999999999,970.159448,3.6091681958891e-14
2e+05,20,3.72800000000001,3.822,528.331152,2.20969481380965e-15
50000,79,4.16400000000002,4.20500000000001,528.78124,7.66027535454012e-15
20000,196,5.58500000000001,5.595,528.841864,5.30326755314316e-15
